,T_obs,T_near_future,T_long_term
264,302.2189,298.5373,303.2713
265,302.85196,298.48608,305.7021
266,302.61923,298.93185,306.41534
267,302.42972,300.00925,303.30862
268,303.1924,298.2595,303.33234
269,302.98282,298.59766,300.66473
270,303.50037,299.13196,299.27048
271,302.12595,300.1764,299.42416
272,299.8657,301.53806,299.72104
273,299.12842,302.2756,300.54868
274,298.73404,300.92007,302.98337
275,298.41013,299.6943,305.78156
276,298.1774,301.9394,304.50226
277,299.1995,300.62738,305.46576
278,301.12814,297.75134,305.55902
279,302.2432,299.33112,304.64133
280,303.42813,302.47638,303.39352
281,302.60916,302.99823,300.63477
282,300.66214,302.6535,299.3641
283,300.1298,304.16937,299.0514
284,298.6061,302.7853,298.82974
285,297.96896,300.8272,299.8357
286,296.0616,302.18024,302.12506
287,296.1528,302.0769,304.20062
288,295.67136,302.1097,304.73572
289,296.14807,301.39075,304.77106
290,299.5376,301.511,305.5132
291,301.6475,302.90137,306.29034
292,302.98874,302.98297,306.43726
293,303.47668,302.63492,307.31125
294,302.4108,301.40042,308.32928
295,299.6513,298.94208,307.8922
296,297.67587,300.123,304.1264
297,299.16574,301.46503,294.7669
298,300.63785,301.57047,293.5618
299,300.9884,301.5788,294.49066
300,298.27512,301.968,296.79752
301,294.63095,303.9936,299.55695
302,291.8608,306.8333,302.42758
303,294.21524,307.344,304.5265
304,295.8508,305.99924,306.20532
305,297.9968,304.86032,306.38107
306,299.33447,302.9161,301.19897
307,299.614,299.49738,298.89
308,300.8984,299.34763,301.0472
309,301.55807,301.24982,304.41583
310,302.33676,296.48053,302.81155
311,296.7941,294.05746,301.8992
312,296.71298,295.50998,301.2142
313,291.2888,297.6275,299.86188
314,292.49026,299.09967,301.24045
315,295.10468,300.59677,302.2989
316,293.93042,301.7471,301.31192
317,294.59958,301.64658,302.87613
318,296.62656,300.0407,300.11337
319,298.09393,294.80084,294.8391
320,300.3773,294.56918,294.31058
321,298.5161,293.83118,297.48593
322,296.379,294.639,299.32022
323,297.2643,297.18597,297.611
324,298.86255,298.57788,296.7315
325,298.04773,299.89484,297.7125
326,296.15634,300.68744,298.32626
327,294.01627,302.38895,298.9862
328,292.37778,303.28458,299.7895
329,293.86765,301.23755,298.6375
330,293.0315,295.56738,298.45636
331,291.51733,293.75516,298.08502
332,293.79422,294.54843,296.64987
333,295.5328,296.54355,296.55792
334,298.06076,298.42157,297.7462
335,300.3228,297.9223,299.87436
336,298.87854,294.18927,297.8169
337,299.5974,292.14227,294.49976
338,298.7814,294.26352,293.54898
339,297.85526,297.8834,295.64087
340,297.51477,299.12363,295.47232
341,298.29288,297.38968,295.0023
342,300.09128,297.5555,297.0966
343,299.83487,298.02634,299.26343
344,298.96973,299.11484,299.3709
345,296.72543,299.37433,299.43536
346,296.1771,300.32306,299.9638
347,297.97903,299.42767,302.38608
348,299.17993,298.69122,302.01144
349,299.4423,299.0884,302.00204
350,295.08157,298.8698,302.82697
351,295.3516,299.56958,304.476
352,298.33493,299.8832,301.39984
353,300.44955,300.57922,295.7562
354,301.92285,302.9492,296.6791
355,303.40445,303.87103,300.6828
356,304.78418,304.80063,302.6922
357,303.61404,305.67072,303.5206
358,301.97794,304.73978,303.781
359,300.1138,304.73666,305.28757
360,297.03036,303.84415,306.83887
361,297.35846,300.31036,306.5987
362,298.95493,298.1001,305.4647
363,298.96262,299.77484,305.93378
364,299.56662,301.21823,308.53186
365,302.4481,303.11188,308.6203
366,303.80826,302.0369,306.19217
367,302.18637,297.47968,307.65756
368,299.17935,300.12372,310.10944
369,299.51035,297.2525,310.01276
370,298.69733,296.34137,307.93533
